Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[2]	[[-124.30000000000001, 481.32]]	0	0.9741958289148109	0.9741958289148109	1	317.2724788414843	9994	4164	0.2	312.9545863082408	5512	5658	1089	1117	1
[2, 4]	[[15.515000000000015, 50.561438867316625], '1']	0	1.0	1.0	3	341.3220215172214	9656	4181	0.4	1023.9660645516642	45	45	9	9	1
[2]	[[356.985, 1275.0149999999999]]	1	0.27320954907161804	0.27320954907161804	1	276.7003424848943	9993	4209	0.2	285.62542810611785	206	754	41	150	1
[2, 1]	[[397.795, 664.345], '2']	1	0.42613636363636365	0.42613636363636365	4	253.47440706309285	9993	4233	0.4	1026.3720353154642	75	176	15	35	1
[2, 4]	[[6.050000000000011, 50.561438867316625], '1']	0	1.0	1.0	3	335.3453489996714	9771	4249	0.4	1006.0360469990142	49	49	10	10	1
[2]	[[-44.75999999999999, 782.76]]	0	0.9644642857142857	0.9644642857142857	1	317.2724788387927	9994	4286	0.2	312.95458630002656	5401	5600	1089	1129	1
[2]	[[-124.30000000000001, 443.32]]	0	0.9766678818811521	0.9766678818811521	6	317.2724788414843	9994	4320	0.2	1877.7275178494447	5358	5486	1087	1113	1
[2]	[[-124.30000000000001, 432.50500000000005]]	0	0.9774021679221018	0.9774021679221018	3	320.3325665518554	9994	4344	0.2	966.8796986559028	5320	5443	1084	1109	1
[0, 1]	['6', '2']	0	0.9447102604997342	0.9447102604997342	2	320.6212457978619	9994	4344	0.4	641.2424915957238	1777	1881	363	384	1
[2]	[[143.26000000000002, 608.74]]	0	0.9675763937485421	0.9675763937485421	2	317.79391683144576	9994	4363	0.2	625.6812345285438	4148	4287	848	876	1
[2]	[[933.98, 1248.7150000000001]]	1	1.0	1.0	1	188.36839609417075	9967	4425	0.2	188.36839609417075	58	58	12	12	1
[2]	[[764.5162923604619, 1363.555]]	1	1.0	1.0	4	212.84363656347855	9969	4443	0.2	851.3745462539142	110	110	23	23	1
[2, 3, 1]	[[568.7950000000001, 134.3], '21', '2']	1	0.1	1.0	1	219.0044975104	4452	4452	0.6	219.0044975104	0	0	0	0	1
[1, 0, 3]	['2', '6', '23']	0	0.9428104575163399	0.9428104575163399	2	334.8672889645215	9930	4510	0.6	669.734577929043	577	612	121	128	1
[2]	[[15.515000000000015, 239.95]]	0	0.9832134292565947	0.9832134292565947	10	328.7413202814247	9983	4510	0.2	3265.6377021832204	2870	2919	602	612	1
[2]	[[316.61, 911.39]]	1	0.1038374717832957	0.1038374717832957	1	291.01303299566064	9993	4524	0.2	303.5162912445758	138	1329	29	279	1
[2]	[[90.58500000000001, 491.41499999999996]]	0	0.9714998959850218	0.9714998959850218	1	317.1518501177221	9994	4533	0.2	312.5864566580876	4670	4807	985	1013	1
[2, 3, 4]	[[1014.4449999999999, 1248.7150000000001], '22', '2']	1	1.0	1.0	1	175.8847305505053	9497	4566	0.6	175.8847305505053	28	28	6	6	1
[2, 3]	[[589.285, 913.8171719502992], '22']	1	1.0	1.0	1	223.2315126658171	9735	4566	0.4	223.2315126658171	19	19	4	4	1
[2, 4]	[[1014.4449999999999, 1160.53], '2']	1	1.0	1.0	1	183.34448103857403	9497	4606	0.4	183.34448103857403	22	22	5	5	1
[0, 3]	['6', '23']	0	0.9418604651162791	0.9418604651162791	1	334.8672889645215	9930	4613	0.4	334.8672889645215	567	602	121	128	1
[2]	[[-83.29500000000002, 731.2950000000001]]	0	0.9638714584521773	0.9638714584521773	1	317.2724788387927	9994	4634	0.2	312.95458630002656	5069	5259	1089	1129	1
[2]	[[707.98, 1070.02]]	1	1.0	1.0	6	220.94930802475116	9969	4645	0.2	1325.695848148507	78	78	17	17	1
[2]	[[112.19, 551.81]]	0	0.9709916797841242	0.9709916797841242	2	317.7041206997932	9994	4663	0.2	625.2427768544591	4318	4447	933	960	1
[2]	[[-96.625, 226.625]]	0	0.982029202545863	0.982029202545863	2	328.74131745670593	9983	4677	0.2	653.1275266440718	2623	2671	566	576	1
[2, 4]	[[237.655, 664.345], '1']	1	0.107981220657277	0.107981220657277	1	295.3377662191406	9971	4746	0.4	308.9222077739257	46	426	10	93	1
[3, 4, 2]	['23', '2', [-124.30000000000001, 514.575]]	1	0.15088757396449703	0.15088757396449703	1	314.41291559639365	9993	4766	0.6	314.41291559639365	51	338	11	74	1
[3, 4, 2]	['23', '2', [-124.30000000000001, 579.225]]	1	0.16326530612244897	0.16326530612244897	1	313.36240913737686	9993	4766	0.6	313.36240913737686	56	343	12	75	1
[2]	[[-124.30000000000001, 489.04]]	0	0.9743032219806286	0.9743032219806286	3	317.2724788414843	9994	4784	0.2	938.8637589247223	4929	5059	1089	1117	1
[2]	[[-124.30000000000001, 410.67]]	0	0.9776615013081102	0.9776615013081102	3	326.9921082223751	9994	4801	0.2	966.8796988943488	4858	4969	1077	1101	1
[4, 0]	['0', '5']	0	0.9705014749262537	0.9705014749262537	1	320.4597854264196	9798	4846	0.4	320.4597854264196	329	339	75	77	1
[4]	['4']	0	1.0	1.0	11	314.5431614832958	9964	4867	0.2	3439.468470395317	1023	1023	231	231	1
[2, 3]	[[15.515000000000015, 50.561438867316625], '21']	0	1.0	1.0	1	343.89410820194564	9983	4876	0.4	343.89410820194564	27	27	6	6	1
[2]	[[707.215, 1340.7849999999999]]	1	1.0	1.0	4	212.8436365626908	9969	4889	0.2	851.3745462507632	100	100	23	23	1
[2]	[[135.72499999999997, 588.2750000000001]]	0	0.9684423125473365	0.9684423125473365	3	317.72130065830737	9994	4925	0.2	937.9899950559621	3836	3961	870	897	1
[2]	[[-64.69, 788.69]]	0	0.9634097305991154	0.9634097305991154	1	317.2724788387927	9994	4925	0.2	312.95458630002656	4792	4974	1089	1129	1
[2]	[[1013.54, 134.3]]	1	0.1	1.0	1	171.95591636013205	4927	4927	0.2	171.95591636013205	0	0	0	0	1
[2]	[[-124.30000000000001, 488.18]]	0	0.9736733854380913	0.9736733854380913	1	317.2724788414843	9994	4987	0.2	312.9545863082408	4734	4862	1089	1117	1
[2]	[[531.4949999999999, 1268.505]]	1	1.0	1.0	4	234.33745845671456	9969	5071	0.2	937.3498338268582	143	143	34	34	1
[2]	[[-124.30000000000001, 707.875]]	0	0.9637273295809882	0.9637273295809882	1	317.2724788387927	9994	5106	0.2	312.95458630002656	4623	4797	1089	1129	1
