LaneNumber	LaneDirection	Volume	Hour	DayNumber	Class
4	2	172	22	4	0
5	2	369	22	4	0
6	2	355	22	4	0
4	2	101	23	4	0
5	2	300	23	4	0
6	2	334	23	4	0
4	2	226	21	0	0
5	2	337	21	0	0
6	2	366	21	0	0
4	2	111	22	0	0
5	2	187	22	0	0
6	2	250	22	0	0
4	2	56	23	0	0
5	2	109	23	0	0
6	2	148	23	0	0
4	2	241	21	1	0
5	2	364	21	1	0
6	2	362	21	1	0
4	2	246	22	1	0
5	2	318	22	1	0
6	2	413	22	1	0
4	2	73	23	1	0
5	2	140	23	1	0
6	2	163	23	1	0
4	2	206	21	2	0
5	2	362	21	2	0
6	2	393	21	2	0
4	2	146	22	2	0
5	2	293	22	2	0
6	2	335	22	2	0
4	2	75	23	2	0
5	2	163	23	2	0
6	2	198	23	2	0
4	2	142	21	3	0
5	2	473	21	3	0
6	2	433	21	3	0
4	2	112	22	3	0
5	2	364	22	3	0
6	2	373	22	3	0
4	2	63	23	3	0
5	2	204	23	3	0
6	2	203	23	3	0
4	2	203	21	4	0
5	2	316	21	4	0
6	2	363	21	4	0
4	2	222	22	4	0
5	2	346	22	4	0
6	2	387	22	4	0
4	2	165	23	4	0
5	2	306	23	4	0
6	2	344	23	4	0
4	2	199	21	0	0
5	2	289	21	0	0
6	2	292	21	0	0
4	2	122	22	0	0
5	2	232	22	0	0
6	2	313	22	0	0
4	2	78	23	0	0
5	2	112	23	0	0
6	2	136	23	0	0
4	2	189	21	1	0
5	2	388	21	1	0
6	2	357	21	1	0
4	2	210	22	1	0
5	2	394	22	1	0
6	2	449	22	1	0
4	2	85	23	1	0
5	2	185	23	1	0
6	2	206	23	1	0
4	2	212	21	2	0
5	2	364	21	2	0
6	2	375	21	2	0
4	2	190	22	2	0
5	2	264	22	2	0
6	2	335	22	2	0
4	2	98	23	2	0
5	2	181	23	2	0
6	2	209	23	2	0
4	2	232	21	3	0
5	2	340	21	3	0
6	2	389	21	3	0
4	2	208	22	3	0
5	2	321	22	3	0
6	2	382	22	3	0
4	2	114	23	3	0
5	2	287	23	3	0
6	2	260	23	3	0
4	2	233	21	4	0
5	2	329	21	4	0
6	2	374	21	4	0
4	2	220	22	4	0
5	2	379	22	4	0
6	2	326	22	4	0
4	2	187	23	4	0
5	2	340	23	4	0
6	2	394	23	4	0
4	2	171	21	0	0
5	2	324	21	0	0
6	2	359	21	0	0
4	2	123	22	0	0
5	2	248	22	0	0
6	2	294	22	0	0
4	2	57	23	0	0
5	2	140	23	0	0
6	2	141	23	0	0
4	2	217	21	1	0
5	2	363	21	1	0
6	2	343	21	1	0
4	2	166	22	1	0
5	2	314	22	1	0
6	2	311	22	1	0
4	2	69	23	1	0
5	2	186	23	1	0
6	2	221	23	1	0
4	2	220	21	2	0
5	2	325	21	2	0
6	2	396	21	2	0
4	2	187	22	2	0
5	2	301	22	2	0
6	2	355	22	2	0
4	2	99	23	2	0
5	2	177	23	2	0
6	2	225	23	2	0
4	2	252	21	3	0
5	2	352	21	3	0
6	2	353	21	3	0
4	2	189	22	3	0
5	2	352	22	3	0
6	2	361	22	3	0
4	2	106	23	3	0
5	2	232	23	3	0
6	2	302	23	3	0
4	2	239	21	4	0
5	2	331	21	4	0
6	2	372	21	4	0
4	2	198	22	4	0
5	2	362	22	4	0
6	2	372	22	4	0
4	2	152	23	4	0
5	2	325	23	4	0
6	2	385	23	4	0
4	2	208	21	0	0
5	2	310	21	0	0
6	2	342	21	0	0
4	2	177	22	0	0
5	2	296	22	0	0
6	2	352	22	0	0
4	2	77	23	0	0
5	2	163	23	0	0
6	2	194	23	0	0
4	2	231	21	1	0
5	2	351	21	1	0
6	2	372	21	1	0
4	2	176	22	1	0
5	2	331	22	1	0
6	2	363	22	1	0
4	2	105	23	1	0
5	2	220	23	1	0
6	2	236	23	1	0
4	2	217	21	2	0
5	2	357	21	2	0
6	2	369	21	2	0
4	2	188	22	2	0
